"","cps19_ResponseId","ethnicity","own_residence","cps19_income_cat","cps19_education","cps19_bornin_canada","education","language","votechoice","age_bracket","province"
"155","R_88plKzIEYDxrgIx","Canadian",1,9,9,1,"Bachelors","Neither",1,"45-54","British Columbia"
"156","R_1nTtOMAGKMVtbLS","English",0,3,7,1,"College/Trades","English",5,"25-34","British Columbia"
"157","R_DSR32EAlGV2To2Z","Canadian",0,2,8,1,"Bachelors","French",2,"45-54","Quebec"
"158","R_2Qzk1LAwPa9z0D7","Canadian",1,3,5,1,"High school","English",2,"65-74","New Brunswick"
"159","R_3prqB926VGiKpLQ","Canadian",0,2,7,2,"College/Trades","English",3,"65-74","Ontario"
"160","R_8iCyNhsacB033NL","English",1,4,7,1,"College/Trades","English",2,"65-74","Ontario"
"161","R_1ogPKkU0YGCTNLZ","Canadian",1,4,9,1,"Bachelors","French",2,"55-64","Quebec"
"162","R_1f1tNUEAzeZahBh","Canadian",1,8,5,1,"High school","English",1,"65-74","Ontario"
"163","R_32X6WN1tXyjwJED","Canadian",1,4,9,1,"Bachelors","French",2,"55-64","Quebec"
"164","R_siDszMVl4nP4M3T","English",0,2,6,1,"College/Trades","English",1,"25-34","Ontario"
"165","R_2QhWE6XAuMba4Bv","Canadian",1,5,5,1,"High school","French",3,"35-44","Quebec"
"166","R_3etojmHbLJ9iG2o","English",1,3,7,1,"College/Trades","English",2,"75+","New Brunswick"
"167","R_3ehoXYXAQqWJs0O","Canadian",1,6,10,1,"Postgrad","English",5,"45-54","Ontario"
"168","R_1eQ9yw4VZiaqbmc","Canadian",0,2,5,1,"High school","English_and_French",5,"25-34","Prince Edward Island"
"169","R_3lspCSHxbzz3BSY","Canadian",1,6,11,2,"Postgrad","Neither",1,"45-54","Ontario"
"170","R_2475Kwb2I2OgUSc","First Nations",1,4,9,1,"Bachelors","English",2,"45-54","Ontario"
"171","R_3GvNdl07lXSgVNI","Canadian",1,4,10,1,"Postgrad","French",5,"45-54","Quebec"
"172","R_1LdFz3q5ZYyWlAn","French",1,9,8,2,"Bachelors","French",2,"55-64","Quebec"
"173","R_AcjFHnPZFBL2kNP","Canadian",0,2,4,1,"No degree/ diploma","English",1,"35-44","Alberta"
"174","R_2PcY3Plnzfpncpj","First Nations",1,4,11,1,"Postgrad","English",1,"25-34","Ontario"
"175","R_129oQHILKVNjv14","Canadian",1,5,10,2,"Postgrad","English",1,"45-54","Ontario"
"176","R_3HNC232ig0O4zRn","Canadian",1,3,5,1,"High school","English",2,"65-74","Ontario"
"177","R_1dcTstX450VSSmc","Canadian",1,4,9,1,"Bachelors","English",1,"65-74","Ontario"
"178","R_3PppRCIrbDi29SI","Canadian",0,9,9,1,"Bachelors","French",4,"45-54","Quebec"
"179","R_WwicbiS1rWlGbSx","English",0,3,6,1,"College/Trades","English",2,"65-74","Nova Scoita"
"180","R_2Qg0ssCRIqt8DQ9","Canadian",1,3,9,1,"Bachelors","English",1,"75+","Ontario"
"181","R_Q6MdNP6ci3SeMDv","Canadian",0,4,9,1,"Bachelors","English_and_French",1,"65-74","Ontario"
"182","R_ZsHdiqtYgXoW9kl","Canadian",1,3,6,1,"College/Trades","Neither",1,"55-64","Ontario"
"183","R_SCbTtgzZs19jCqB","First Nations",1,3,7,1,"College/Trades","English",1,"45-54","Ontario"
"184","R_sdiJ6GRAE4RO6Jz","Irish",1,6,10,1,"Postgrad","English",1,"55-64","Prince Edward Island"
"185","R_6ujIPYl2lN6tB0R","English",1,3,7,1,"College/Trades","English",5,"55-64","New Brunswick"
"186","R_1IAA4cpZzyFdeXh","Canadian",0,2,6,1,"College/Trades","English",1,"25-34","Newfoundland and Labrador"
"187","R_22PV5LctDRvXsfa","Canadian",1,7,9,1,"Bachelors","English",1,"55-64","Ontario"
"188","R_25uA1z522izNgD8","English",1,4,6,1,"College/Trades","English",5,"55-64","Ontario"
"189","R_2abmDMt5EArm15T","Canadian",1,3,6,1,"College/Trades","English",1,"65-74","Ontario"
"190","R_1QoJY7eNGjUfqnh","Canadian",1,5,5,1,"High school","English",2,"45-54","Ontario"
"191","R_4IXP7DR7WghEwBr","Canadian",0,9,7,1,"College/Trades","French",4,"25-34","Quebec"
"192","R_3RaxWV5Sv7EBGck","Canadian",1,3,9,1,"Bachelors","English",2,"18-24","Alberta"
"193","R_3gL46e90ZGiLVaK","Canadian",1,6,9,1,"Bachelors","English",1,"55-64","Newfoundland and Labrador"
"194","R_1jwcaOI75WayZiW","English",1,3,4,1,"No degree/ diploma","English_and_French",1,"65-74","Ontario"
"195","R_efHfjn1Yu6p5Yyd","English",1,3,8,1,"Bachelors","English_and_French",1,"65-74","Quebec"
"196","R_2zCOda1QfjjD3Bn","Canadian",1,3,8,1,"Bachelors","English_and_French",1,"75+","Ontario"
"197","R_2s4uYqqvYJ3Ufzg","Canadian",1,9,9,1,"Bachelors","French",4,"55-64","Quebec"
"198","R_1jPmUocsvODHSYl","Canadian",1,4,6,1,"College/Trades","English",2,"65-74","Newfoundland and Labrador"
"199","R_BEAVV783rYHub2V","Canadian",0,4,6,1,"College/Trades","French",2,"45-54","Quebec"
"200","R_32W1YVMFO2VcmQS","Canadian",0,3,5,1,"High school","English",1,"75+","Nova Scoita"
"201","R_Zfp4UaYvqPGpZwR","Irish",1,7,9,1,"Bachelors","English",1,"65-74","Ontario"
"202","R_2Sc81E34iMB8t6h","Canadian",0,3,11,1,"Postgrad","English",1,"75+","Ontario"
"203","R_3EWrrsUEEwPhHjU","Canadian",0,2,6,1,"College/Trades","French",2,"65-74","Quebec"
"204","R_xgSawirnnr9s0wh","Canadian",1,3,7,1,"College/Trades","English",5,"65-74","Ontario"
"205","R_bxbgY81qD7VZUJj","Canadian",1,6,9,2,"Bachelors","Neither",1,"35-44","Quebec"
"206","R_3MmPgIiFuXyh4Dq","Canadian",1,6,11,2,"Postgrad","Neither",1,"65-74","Ontario"
"207","R_1pmoOIKKfTzfvXa","Irish",1,4,9,1,"Bachelors","English",1,"65-74","Ontario"
"208","R_2TKLkC7wEijVqZP","German",1,9,9,1,"Bachelors","English",2,"65-74","Ontario"
"209","R_3GfUXFpWTGH9VXN","English",1,9,6,2,"College/Trades","English",1,"55-64","Ontario"
"210","R_1FPKPeoc8upEB56","Canadian",0,2,4,1,"No degree/ diploma","Neither",5,"18-24","Alberta"
"211","R_3m1ZQTO5aB7NL3T","Canadian",1,4,7,1,"College/Trades","English",1,"55-64","Ontario"
"212","R_2aXYTmZnxlndF6o","Canadian",1,5,9,1,"Bachelors","French",5,"55-64","Quebec"
"213","R_cIRgsMyKXN9K5Dr","Canadian",1,5,7,2,"College/Trades","Neither",2,"75+","Ontario"
"214","R_XpjXX8Sv9NM5uXD","French",0,3,5,1,"High school","French",2,"55-64","Quebec"
"215","R_2rkGW7gepqo2jRx","Canadian",1,7,9,1,"Bachelors","English",1,"55-64","Ontario"
"216","R_2ZOIXJNpZN8IO1u","Canadian",1,4,10,1,"Postgrad","English",3,"55-64","Ontario"
"217","R_XAGiODQKCnfV6uZ","Canadian",1,9,11,1,"Postgrad","English",1,"55-64","Ontario"
"218","R_1n1Tm7Jb19pkZUY","Canadian",1,3,5,2,"High school","Neither",1,"65-74","Ontario"
"219","R_1DVbP27gmfTmkzd","Canadian",1,3,7,1,"College/Trades","French",6,"55-64","Quebec"
"220","R_2Y9bryBwr76EUGP","Canadian",1,2,5,1,"High school","French",2,"35-44","Quebec"
"221","R_voCg53AHlpFDdC1","English",1,3,7,1,"College/Trades","English",1,"45-54","New Brunswick"
"222","R_3O8ooMrKSlKmBNE","Canadian",1,2,6,1,"College/Trades","English",1,"65-74","Newfoundland and Labrador"
"223","R_2xPCGXhB1flNz8Y","Canadian",1,5,10,1,"Postgrad","French",5,"45-54","Quebec"
