"cps19_ResponseId","votechoice"
"R_2TnMZ06hKmbTdvf",1
"R_2aCYkrXZ1Weim3r",9
"R_1pVT9DQqb6ybY7f",2
"R_1ZCPvRAiK9belPj",1
"R_33wpupd53eDyQgz",2
"R_6XdpAU1oZUlNFnz",1
"R_2aK4DX0jtPiqfRy",9
"R_2Cjt5ZeTBXIVLJj",1
"R_2UXzqUZTVPIXXn5",1
"R_2c6DraUqsnKfi9f",1
"R_eyb9obwN1lstOM1",3
"R_ZHO0UMguCKWFL6p",3
"R_1q1yxPRGa0Nwbla",5
"R_3kzi7Ui1tW0wD4q",2
"R_3dKfNJ9GdRZVDsa",2
"R_vC7NkRvDpFpvyHT",1
"R_1dmJjIr4H0WiGmg",9
"R_1i3eUyRjwb5b56j",9
"R_21vttM9TvtxfO3X",1
"R_d6DrsDqQGIboop3",1
"R_1eqo0jIkPRVKyNS",9
"R_1CkgT7nmsxFPqx1",9
"R_zcAcI7zbeTY3PIB",2
"R_3MrFA2ktLdEK4n6",2
"R_28P2EQMtzj9u2nB",3
"R_2uDpsbpoPfeNUWa",1
"R_12bhcnCJxkNLq1s",9
"R_1dAF50FEG0yel9G",1
"R_urzu1qBSCuUL6PD",5
"R_2wpo81Ft0dmlUBI",2
"R_2t2Ol2Kq6x1HaVo",1
"R_ULwVGxWsgyKT8T7",1
"R_2bJYx7HIghSpcTZ",2
"R_1gMzkwPFqvgLs7H",1
"R_3Em7zkSwCwfM1sw",1
"R_22Q6q5p2jo0MvWs",2
"R_25GXomDNmOeQ5mW",1
"R_3O2NkCoDKRXE4nM",2
"R_Uz5nIKNsEVVOkKd",4
"R_3gRgNoVaQOZalpx",1
"R_1porg5xViqdBH3L",9
"R_2Bafrkjzm5RHJFQ",1
"R_ByqOkdMO22smd7H",1
"R_UMd6b5p2ZdfNmRH",1
"R_2DOHny7XBOUTz0F",1
"R_UWry4KLwjXqlN5f",1
"R_1Qg7InMRsJ5l84Y",3
"R_2wH9GeAtREdcWid",5
"R_3iQnUaaNDCRSAgq",2
"R_33ealWiuSsXFzO6",3
"R_12bgvuwAFCtNXZo",9
"R_1Kw0WAwUq1u8lvT",1
"R_cOzrsO0DABrlEfT",5
"R_2SdHVE41DAyqqRz",9
"R_2QXOaOvlg2IuL6g",1
"R_1qhceWFKcBC4ZOY",3
"R_33rPepmAvw5d58n",1
"R_3Jr5a63frgUMkYD",1
"R_3NyP1yCIHotebqi",1
"R_1MQmofpmaXIbrQe",1
"R_332rEqSUNpgeE1s",1
"R_3GkuhewK17SFngU",5
"R_1jev0enOUSS2Y1T",3
"R_2y9oEzQGfp67Q8X",2
"R_3PNNOq5vxPBJrLx",1
"R_3gS1U7oGV05bTJ3",2
"R_6EYfg9PLNyUAZDr",1
"R_32VBjG3UNPdiHDG",1
"R_2CV4HS6VDU25hXT",1
"R_2f1zfy8Pg4DoPBn",1
"R_x3e4nxnzetpJezD",2
"R_2chfUUR8RiZTLBq",1
"R_1OZTnsudSjxYnPk",2
"R_1NaeV8T3u5uLxIy",3
"R_2ZCUJFQrO9WQSw1",4
"R_1LNWcvIIvcy2TIV",1
"R_28YvU5w7h09BNgN",1
"R_1gpbnuPz8DRxBpV",1
"R_2zTib9CpFVtLgnq",1
"R_1OjCFAnugrIpgOh",9
"R_1Oq5NSkwcGgE9t9",1
"R_74hqaqfwxoIGjyF",4
"R_3MfLlx6Xb2KmanQ",5
"R_6PyT5ZyMZkpTMt3",3
"R_1gw1MWzEwqY4e0H",1
"R_28CIKLHalrayXyH",9
"R_3MuK4KvYj7EP9ps",9
"R_3ixsLJ6sjtRAoZA",1
"R_27295IePWJgviNc",3
"R_wLUMwC3vnQhrwRj",2
"R_2viU3hC6sMVpXMc",2
"R_aauwU5huKxcj2bD",1
"R_1LFnw0Hi1WyetMw",4
"R_3rZKsrhpaJipFtv",3
"R_3374ZmZaFAe3SD2",9
"R_3ejTuopJEHD4Ppn",1
"R_3P7WgdG2bp44Li4",1
"R_3psRSM3J0Wm8t9k",4
"R_3F58aluresiHdWP",2
"R_A5Jx7wmuKlJshyh",1
"R_z7pwlDxNwAji56V",4
"R_3JJIzj24DqgUzbw",3
"R_3QGDUYyiEJbza5H",2
"R_2TZbdOcBrX2ogZa",6
"R_1j7jiIv8mpd74Sr",1
"R_r7nMHoo2HFvyqLn",9
"R_068M0pjC6pLxnrP",5
"R_3CTURJqDojS7q22",3
"R_216AgN7aJ1DPJWj",1
"R_3iPuzFmTezJgk4V",2
"R_1JFmPR5npWyzCUI",1
"R_22qRqLzMSLJrpBA",2
"R_1MQYGHWikAMm9Bb",1
"R_2xWeCYlYGWFmY12",1
"R_2SeI42e5EMiUfsF",1
"R_3MmoIf4WSNdQStj",2
"R_25sci4nQTzswhxD",5
"R_3m90RWYSBsWfxMX",4
"R_pQ51hHsRueJ7kOt",1
"R_p3Gd618o5Fvw1KF",2
"R_1hG4MHT8CcIMNXa",3
"R_1JXwnaWnYNBGj9H",5
"R_1eJJ37SerK6rAIA",2
"R_1Olf2vEAbinuohR",3
"R_29nVQHDslDPFgEM",2
"R_3HHL1rJYxRWOdRh",2
"R_3harGWap6BljVmN",1
"R_1Edi3DoieLhKxHp",9
"R_3phuEIsrxG4Clmo",4
"R_2wuHFkzIIUtyTrO",2
"R_TdXyPoLBky38zYt",1
"R_1eCzK6RISI49WDm",1
"R_eeQJ18S9BvsCsuZ",1
"R_1jvojew7nZTZPNH",5
"R_2EFX5izTNWaZ5K9",2
"R_12Pk9CKhp3Zjpwf",1
"R_12gvvxCJlrNkBG2",4
"R_3LgLBpFI09AWO8C",1
"R_w6llo8ak6isdY3v",1
"R_3KooJqreCaIuclH",2
"R_6yrCn1PnBoIlaXn",9
"R_27vNvpYoAPtIeBX",2
"R_1jVA7952fg5RPVZ",1
"R_CdV7zlt3FjzpcL7",9
"R_3lJmX2TYy4Q82LU",2
"R_1hETC0rWIuiGRhb",2
"R_3JegHShciiFKZ7w",4
"R_231eXErCBFZ6nYv",3
"R_bEDNTyngh3r7Bip",9
"R_3Ph6xxgQAB6tVgL",9
"R_3nAu6lB99wd2m8J",3
"R_31yhSoSGRiAD4DF",2
"R_12fmMYBH57NLKzW",2
"R_rrSibgLDAOnbuY9",1
"R_1jND1By9Mi4rjk8",1
"R_1jQdMWSrrnR270M",1
"R_Pz9tGrZIQrIKC3v",5
"R_27f0UcAnR2isfTH",2
"R_1JDU29EhlyVB2iZ",2
"R_3FIgHk2m1gfKT3a",2
"R_1CIyYB67NJfZ4zO",4
"R_268VLNpTjcJA3BU",1
"R_2YrC3rqGHVw0w7q",2
"R_RxGyBDopxfZaGCB",2
"R_1DN1dYrnZyWa0F5",2
"R_26a9N5c0fmhqFMT",9
"R_129KH4Akk1uQYXe",4
"R_1MLmkYWwXbt353v",1
"R_1g8spMjlSySvT61",5
"R_116Mm1EiH1tIFYI",1
"R_3KrOK4ekkEdw1Fq",1
"R_27JxqBgfBFuiiZf",5
"R_wMo9CepbUBp788p",1
"R_02PKl3Q8YQg9vDX",3
"R_26hkH6Qwgb346Tc",2
"R_bxcVKkEZinvKhPz",4
"R_11ZmcpABH3M06it",9
"R_elF2I9IxHGMuYmd",1
"R_2S8CkEiNnOdiZuh",3
"R_2BzmhUCh5VwNpnF",1
"R_6y9hM6YRWSw3isF",1
"R_4IUTYwYEKwP6NBD",6
"R_3Jq2Jgt9PRv1rTy",3
"R_30db2ywGohxn577",2
"R_2y3EnxIebAJ8Zwe",1
"R_21oH0dtnzQxXrxn",5
"R_z8bVHGiHmaNvGsp",1
"R_YWfYvqaPmGsIPHb",2
"R_3KVcSWYyAZJUYFa",9
"R_27dl2TC0T3pP2kE",6
"R_3iWps4T08Df7DeR",9
"R_1dc2S8iQcb1kWCj",9
"R_5pDMolN07aJqURH",9
"R_djzdWK128TmH2db",9
"R_tQIAJ3nlQWX3cOZ",9
"R_TuBXZeSfG9BayJj",9
"R_1gGYvUaFo8EwCFk",1
"R_27VDaPwiNiKQM5h",2
"R_2ts2dUPpRRv7QVQ",1
"R_30dj0oRq9VKaC13",8
"R_2E0K4nM4jNzvufY",2
"R_3EyYhRIghBqY3Ia",3
"R_2P1eL8mtcyvahLk",1
"R_3MoHljt24Tg5dOF",1
"R_ub1tTrAi3IsCDRv",1
"R_30f8pw11d2Loi7p",2
"R_VQjHQLkSjCW9oM9",1
"R_BJ56vWKQaRhGiTD",1
"R_1plCdHUd5wHnqNE",3
"R_s6eMTLGXIjgMj61",1
"R_2sSiXO8KSYGm7EE",1
"R_2rMTQVMAEKgk0pt",2
"R_20SZg6ew5A9FP2x",1
"R_3nIvu0ORn9VKC9V",1
"R_2rBcslpOwQ2Zj8y",2
"R_3kjts2FgDqF0cAl",2
"R_2azVyvh53gylEJi",1
"R_1jJLJjMfPY7qHww",9
"R_Td5Susaw3Cvfcjv",1
"R_3jea6eVhRXttc9S",2
"R_2f1fpryu9Ev6Kbf",2
"R_1n0xFy4lkt9QIAV",9
"R_3Rqn5wyAKZ9xZeA",2
"R_12eTIWKlxKkvQcK",1
"R_3q7PTPZWCkqmK5U",9
"R_3PLWfy8BAclvz2p",2
"R_1cYxsUXPHGUFh5G",1
"R_2wHtIpIBfyTkoLN",2
"R_2dQLyJKyw3BsuiF",3
"R_3gS3hG5WrSeBWZQ",1
"R_12JhBBgsRcp6tlG",4
"R_s7hDanMTnzIT4uB",1
"R_24CyANA1YcpNSz7",9
"R_1MqvAStgpIepUvD",1
"R_41nqTT69ejjjbFf",5
"R_2CqqZeG1jQSxJwL",1
"R_1kS2ikCV9T2OhyK",9
"R_2OVAQvuC5zHZXj9",2
"R_3PiayR2vQLjQmFs",7
"R_YSy04Ufmvr0kGsN",1
"R_DqHKfztQL6ysGmB",2
"R_3L57lgazltwlWOC",2
"R_2V282TpCWM50Hal",2
"R_3maVl8VdhAiHCiG",1
"R_Zta2JywKZ1etjRD",1
"R_3nouq3lADCAeLWa",2
"R_1llTK06TWAJoYfc",2
"R_WqHQj9QWlozT9mN",2
"R_1ILrzGlTgwro7Bo",2
"R_3m95YaTl7ZSagHL",2
"R_OdNSnDwfhXQwD8R",2
