,cps19_ResponseId,ethnicity
732,R_2S3oAnvtVznORWn,Canadian
733,R_vxc3FMFoXvk0T9T,English
734,R_3Ja5J9TAf5sq5yp,Canadian
735,R_1LexA4nfKavqL66,Scottish
736,R_1pnHGUXUC9MLUCq,Canadian
737,R_tGR1R1mCR1il3bj,Canadian
738,R_1BXw9jFzYR6m73Y,Canadian
740,R_3ekrgECnmDLZ7qq,Canadian
741,R_1och7x7fegFpWj6,English
743,R_a60x0hoggiS4gWl,Canadian
744,R_1HqtWjLsQB8z72x,French
745,R_3kArWwMNFAXEsby,Canadian
746,R_1IMcva2FMSx0nQ7,Canadian
749,R_1zCykVZK1ZvnvRT,English
750,R_3ho0LS1TckSahEP,French
751,R_1nZU7EjKDw9ORxo,English
752,R_yjqW7IUxwQH1Pkl,Canadian
753,R_SCsrDc2LYCp7a0x,Canadian
755,R_3fqHvuvbHJEr8Ce,Canadian
756,R_3nCpP1FsBeNy9st,Canadian
757,R_x4bvdSqrTgBweDD,Chinese
759,R_3LbQG9MLDkrPLSY,Canadian
760,R_21iJlJ4qriBaawG,Canadian
761,R_3g6hZrkfDarDMN8,English
762,R_22DPnw8vFhnBdFk,Canadian
763,R_1NE99v0gzf9RiAs,Canadian
764,R_1puuZfD7Fy2OulS,Canadian
765,R_5uOVt9zLBWPveil,Canadian
766,R_28IJySxQcc2gTT2,Chinese
767,R_1LAQMtRf0MxDlz8,Canadian
768,R_1gO6sWtuLQHTNlR,Canadian
769,R_2dSJsvI9WYyVVvi,English
771,R_2E5DPWWMgSyQXDO,Canadian
772,R_spdBu9kozGLvOpj,Chinese
773,R_3h9KNLScJyWR8aT,Indian
775,R_9KYbm6slSlIf86B,Chinese
776,R_2TI5pscLhPtqE19,French
777,R_XTFyYL59aSmKZC9,Canadian
779,R_2cvz4rvQ18WJMcM,English
780,R_4ZolDXJblwk18Gt,Scottish
782,R_1reHA7BS5Sqnue3,Scottish
